Ti,Fe,Ni,CSI,Ti2Ni
50,0,50,108900.6243,1.1017351
50,0.1,49.9,106399.8384,1.1065219
50,0.2,49.8,104028.8749,1.1106134
50,0.3,49.7,102302.6199,1.1137485
50,0.4,49.6,100795.9625,1.1180432
50,0.5,49.5,99204.45615,1.1221063
50,0.6,49.4,97530.70344,1.125906
50,0.8,49.2,95566.95969,1.1294065
50,0.7,49.3,96518.09139,1.1296249
50,0.9,49.1,94247.92816,1.1333805
50,1,49,93046.10524,1.1372732
50,1.1,48.9,91760.83363,1.1411192
50,1.2,48.8,90839.0687,1.1449489
50,1.3,48.7,90266.87282,1.1487728
50,1.4,48.6,89103.35226,1.1526201
50,1.5,48.5,88245.60571,1.1564308
50,1.6,48.4,87928.61289,1.1602833
50,1.7,48.3,86507.26332,1.1641621
50,1.8,48.2,85884.47096,1.1680421
50,1.9,48.1,85167.90265,1.1720518
50,2,48,84647.13873,1.1760811
50,2.1,47.9,83890.4878,1.1801731
50,2.2,47.8,82728.74063,1.1843689
50,2.3,47.7,82721.28938,1.1886192
50,2.4,47.6,81642.43244,1.1930323
50,2.5,47.5,81419.05877,1.1974534
50,2.6,47.4,80741.48739,1.2019354
50,2.7,47.3,78564.14894,1.206536
50,2.8,47.2,79613.84113,1.2112493
50,2.9,47.1,78888.98051,1.2160685
50,3,47,78350.21571,1.2209657
50,3.1,46.9,77764.61486,1.2259921
50,3.2,46.8,77021.28115,1.2310909
50,3.3,46.7,76760.9073,1.2363118
50,3.4,46.6,76331.3517,1.2416264
50,3.5,46.5,75822.13103,1.2470582
50,3.6,46.4,75133.19428,1.2526666
50,3.7,46.3,74701.02331,1.2582112
50,3.8,46.2,74327.11128,1.2639548
50,3.9,46.1,73556.53241,1.269807
50,4,46,73426.5709,1.2757654
50.1,0,49.9,79143.63038,1.5163871
50.1,0.1,49.8,77514.59882,1.5212904
50.1,0.2,49.7,75944.02288,1.5259327
50.1,0.3,49.6,74732.19845,1.5300812
50.1,0.4,49.5,73883.38071,1.5340148
50.1,0.6,49.3,71898.17984,1.5365812
50.1,0.5,49.4,72500.66525,1.5376582
50.1,0.7,49.2,71053.38984,1.5403848
50.1,0.8,49.1,70051.86233,1.5440988
50.1,0.9,49,69383.63925,1.5474539
50.1,1,48.9,68524.98847,1.5508172
50.1,1.1,48.8,67900.26858,1.5540751
50.1,1.2,48.7,67254.08414,1.5573449
50.1,1.3,48.6,66580.49311,1.5606813
50.1,1.4,48.5,65954.94524,1.5639137
50.1,1.5,48.4,65486.51513,1.5672455
50.1,1.6,48.3,64904.02344,1.5705121
50.1,1.7,48.2,64548.91274,1.5737781
50.1,1.8,48.1,63768.44383,1.577104
50.1,1.9,48,63458.41481,1.5804476
50.1,2,47.9,63007.24435,1.5838386
50.1,2.1,47.8,62490.88576,1.5873041
50.1,2.4,47.5,61716.38835,1.5890852
50.1,2.2,47.7,62198.41723,1.5908412
50.1,2.5,47.4,61206.97979,1.5929347
50.1,2.3,47.6,61723.11036,1.5945358
50.1,2.6,47.3,60704.13963,1.596753
50.1,2.7,47.2,60728.46111,1.6008122
50.1,2.8,47.1,60246.75878,1.6048021
50.1,2.9,47,59923.00997,1.608922
50.1,3,46.9,59546.28329,1.6131686
50.1,3.1,46.8,59214.82045,1.6174724
50.1,3.2,46.7,59022.88351,1.6218967
50.1,3.3,46.6,58754.51723,1.6263711
50.1,3.4,46.5,58338.3108,1.630962
50.1,3.5,46.4,57897.37498,1.6357775
50.1,3.6,46.3,57723.81213,1.6405562
50.1,3.7,46.2,57426.92889,1.6453326
50.1,3.8,46.1,56952.27655,1.6504446
50.1,3.9,46,56791.99576,1.6553883
50.1,4,45.9,56601.31917,1.6605866
50.2,0,49.8,84488.2692,1.9486069
50.2,0.1,49.7,60719.94624,1.9531796
50.2,0.3,49.5,58693.15775,1.9558874
50.2,0.2,49.6,59264.83694,1.9573685
50.2,0.4,49.4,57917.11941,1.9600091
50.2,0.5,49.3,57173.19527,1.9637814
50.2,0.6,49.2,56353.3453,1.967321
50.2,0.7,49.1,55726.19778,1.9705754
50.2,0.8,49,55005.68778,1.9737675
50.2,0.9,48.9,54403.71042,1.9767118
50.2,1,48.8,53837.79131,1.9796197
50.2,1.1,48.7,53269.34622,1.9823959
50.2,1.2,48.6,52748.13814,1.9851342
50.2,1.3,48.5,52324.11858,1.9878608
50.2,1.7,48.1,51106.04497,1.9889226
50.2,1.4,48.4,51837.49631,1.9905996
50.2,1.8,48,50846.12943,1.9918147
50.2,1.5,48.3,51550.91681,1.9933544
50.2,1.9,47.9,50324.00075,1.9946885
50.2,1.6,48.2,51253.94195,1.9961444
50.2,2,47.8,50168.82353,1.9976083
50.2,2.1,47.7,49872.16959,2.0005742
50.2,2.2,47.6,49645.61496,2.0035425
50.2,2.3,47.5,49265.20486,2.0065879
50.2,2.4,47.4,48817.29053,2.0097067
50.2,2.5,47.3,48679.3829,2.0128583
50.2,2.6,47.2,48380.80849,2.0162104
50.2,2.7,47.1,48314.02918,2.0193878
50.2,2.8,47,47912.63719,2.0227802
50.2,2.9,46.9,47663.54599,2.0262087
50.2,3,46.8,47324.99225,2.0297709
50.2,3.1,46.7,46987.93315,2.0334359
50.2,3.2,46.6,46879.65188,2.0371765
50.2,3.3,46.5,46881.37302,2.0409391
50.2,3.4,46.4,46559.97394,2.0448388
50.2,3.5,46.3,46458.7206,2.0488582
50.2,3.6,46.2,45377.45244,2.0529509
50.2,3.7,46.1,45972.1391,2.0571571
50.2,3.8,46,45774.85926,2.0614745
50.2,3.9,45.9,45483.24573,2.0658562
50.2,4,45.8,45571.02897,2.0703874
50.3,0,49.7,121441.7313,2.3870407
50.3,0.1,49.6,92089.47324,2.3915724
50.3,0.2,49.5,77722.27398,2.3958408
50.3,0.3,49.4,68301.18866,2.3998876
50.3,0.4,49.3,64176.54259,2.4035715
50.3,0.5,49.2,52441.61204,2.4069472
50.3,0.6,49.1,46078.74438,2.4100825
50.3,1.1,48.6,43927.92807,2.4125691
50.3,0.7,49,45500.95298,2.412988
50.3,1.2,48.5,43600.33499,2.4149957
50.3,0.8,48.9,45112.65119,2.4157836
50.3,1.3,48.4,43067.32247,2.4173924
50.3,0.9,48.8,44672.12061,2.4183786
50.3,1.4,48.3,42837.83772,2.4197632
50.3,1,48.7,44384.55961,2.4207753
50.3,1.5,48.2,41911.2694,2.4221425
50.3,1.6,48.1,42300.69268,2.4246932
50.3,1.7,48,41959.95475,2.4269122
50.3,1.8,47.9,41600.23634,2.429213
50.3,1.9,47.8,41478.08365,2.431651
50.3,2,47.7,41185.93353,2.4337762
50.3,2.1,47.6,40883.90559,2.4361304
50.3,2.2,47.5,40720.90183,2.4385092
50.3,2.3,47.4,40463.68275,2.440909
50.3,2.4,47.3,40236.16918,2.4433235
50.3,2.5,47.2,39737.95054,2.4458503
50.3,2.6,47.1,39988.48531,2.4485281
50.3,2.7,47,39802.58054,2.451058
50.3,2.8,46.9,39459.37151,2.453784
50.3,2.9,46.8,39464.80723,2.4565749
50.3,3,46.7,39107.81799,2.4594328
50.3,3.1,46.6,39038.53119,2.4623758
50.3,3.2,46.5,38948.67859,2.4654037
50.3,3.3,46.4,38524.0752,2.4685576
50.3,3.4,46.3,38554.99683,2.4717858
50.3,3.5,46.2,38395.19449,2.4752388
50.3,3.6,46.1,38256.52908,2.4785575
50.3,3.7,46,38009.18418,2.4820423
50.3,3.8,45.9,37895.5994,2.4856938
50.3,3.9,45.8,37758.65936,2.4894046
50.3,4,45.7,37783.06176,2.4932237
50.4,0,49.6,161010.0666,2.8063239
50.4,0.1,49.5,138618.3248,2.8459803
50.4,0.2,49.4,122517.1537,2.8500236
50.4,0.6,49,55658.9355,2.8522256
50.4,0.3,49.3,96306.36931,2.8537664
50.4,0.7,48.9,49088.68726,2.8551789
50.4,0.4,49.2,78452.8903,2.857144
50.4,0.8,48.8,45934.72486,2.8575675
50.4,0.9,48.7,37766.91934,2.8599319
50.4,0.5,49.1,65400.10272,2.8601694
50.4,1,48.6,37244.7852,2.8623946
50.4,1.1,48.5,37070.69644,2.8645782
50.4,1.2,48.4,36803.2646,2.8663486
50.4,1.3,48.3,36496.87852,2.8683299
50.4,1.4,48.2,36297.38635,2.8699989
50.4,1.5,48.1,35993.7813,2.8718365
50.4,1.6,48,35661.99632,2.8738803
50.4,1.7,47.9,35578.32117,2.8756404
50.4,1.8,47.8,35137.35695,2.8775545
50.4,1.9,47.7,35031.34069,2.8791577
50.4,2,47.6,34844.97069,2.8808779
50.4,2.1,47.5,34607.22008,2.882609
50.4,2.2,47.4,34510.03626,2.8844021
50.4,2.3,47.3,34303.66945,2.8862602
50.4,2.4,47.2,34058.37344,2.8881055
50.4,2.5,47.1,34088.96053,2.8898818
50.4,2.6,47,33906.24108,2.8918144
50.4,2.7,46.9,33680.20085,2.8937869
50.4,2.8,46.8,33597.04217,2.8958501
50.4,2.9,46.7,33443.47962,2.8980004
50.4,3,46.6,33231.40589,2.9002027
50.4,3.1,46.5,33171.72781,2.9024574
50.4,3.2,46.4,33012.08966,2.9049922
50.4,3.3,46.3,32925.52865,2.9072493
50.4,3.4,46.2,32696.43303,2.9098403
50.4,3.5,46.1,32597.07487,2.9124357
50.4,3.6,46,32448.5053,2.9152143
50.4,3.7,45.9,32411.89595,2.9180502
50.4,3.8,45.8,32431.44109,2.9209447
50.4,3.9,45.7,34892.5137,2.9240108
50.4,4,45.6,32217.11595,2.9272744
50.5,0,49.5,138696.3573,3.2532901
50.5,0.1,49.4,150585.4209,3.2607782
50.5,0.2,49.3,161409.654,3.302525
50.5,0.3,49.2,140672.6446,3.3057781
50.5,0.4,49.1,114771.4406,3.3090161
50.5,0.5,49,104137.1439,3.3119682
50.5,0.6,48.9,81905.44272,3.3147084
50.5,0.7,48.8,69943.72156,3.3171547
50.5,0.8,48.7,68375.33963,3.3195325
50.5,0.9,48.6,59241.01991,3.3216357
50.5,1,48.5,46346.98793,3.323513
50.5,1.1,48.4,48315.38287,3.3251003
50.5,1.2,48.3,39599.40387,3.3266159
50.5,1.3,48.2,41637.79836,3.328293
50.5,1.4,48.1,31316.59898,3.3294278
50.5,1.5,48,31009.86736,3.3307762
50.5,1.6,47.9,30904.81699,3.3321124
50.5,1.7,47.8,30654.846,3.333464
50.5,1.8,47.7,30490.25482,3.3350023
50.5,1.9,47.6,30268.36174,3.3360599
50.5,2,47.5,30132.18456,3.3372194
50.5,2.1,47.4,29997.04981,3.3383634
50.5,2.2,47.3,29826.84418,3.3395559
50.5,2.3,47.2,29656.26299,3.340797
50.5,2.4,47.1,29470.14898,3.3421799
50.5,2.5,47,29416.97977,3.3433055
50.5,2.6,46.9,29188.92873,3.3446351
50.5,2.7,46.8,28643.352,3.3459874
50.5,2.8,46.7,28967.39016,3.347424
50.5,2.9,46.6,28964.04284,3.348872
50.5,3,46.5,28856.99423,3.3504655
50.5,3.1,46.4,32178.79753,3.3520918
50.5,3.2,46.3,28645.17441,3.3537551
50.5,3.3,46.2,33689.28342,3.355551
50.5,3.4,46.1,34493.65601,3.357476
50.5,3.5,46,34236.65662,3.359463
50.5,3.6,45.9,32975.28972,3.361497
50.5,3.7,45.8,33874.25283,3.3636497
50.5,3.8,45.7,36686.69702,3.3659182
50.5,3.9,45.6,40044.31482,3.3682995
50.5,4,45.5,43489.41352,3.37079
50.6,0,49.4,121329.4792,3.7188704
50.6,0.1,49.3,131322.165,3.7262444
50.6,0.2,49.2,142578.2933,3.7334364
50.6,0.3,49.1,154135.2616,3.7398317
50.6,0.4,49,152741.9158,3.7796215
50.6,0.5,48.9,128847.6036,3.7824
50.6,0.6,48.8,119942.652,3.7848786
50.6,0.7,48.7,92020.69402,3.7871345
50.6,0.8,48.6,84823.34655,3.7891208
50.6,0.9,48.5,80818.04202,3.7908372
50.6,1,48.4,72773.14005,3.7924037
50.6,1.1,48.3,64410.9592,3.7936804
50.6,1.2,48.2,47220.172,3.7948075
50.6,1.3,48.1,49210.49764,3.7958288
50.6,1.4,48,37443.93536,3.7967679
50.6,1.5,47.9,39083.3787,3.7976553
50.6,1.6,47.8,31541.67267,3.7987239
50.6,1.7,47.7,33226.77208,3.7993669
50.6,1.8,47.6,38856.21841,3.8004595
50.6,1.9,47.5,37267.38113,3.8010403
50.6,2,47.4,32100.66903,3.801743
50.6,2.1,47.3,32928.09342,3.8023331
50.6,2.2,47.2,28030.27855,3.8030386
50.6,2.3,47.1,29518.03709,3.8036858
50.6,2.4,47,32775.21914,3.8043535
50.6,2.5,46.9,31566.15665,3.8050347
50.6,2.6,46.8,31818.25354,3.8057253
50.6,2.7,46.7,33237.75694,3.8064962
50.6,2.8,46.6,30048.81259,3.8073424
50.6,2.9,46.5,32746.84951,3.8081829
50.6,3,46.4,28653.60074,3.8091668
50.6,3.1,46.3,28130.33958,3.810136
50.6,3.2,46.2,33127.8227,3.8111955
50.6,3.3,46.1,40877.29036,3.8123615
50.6,3.4,46,36817.61712,3.8136474
50.6,3.5,45.9,39868.85884,3.8149009
50.6,3.6,45.8,36185.34538,3.8165906
50.6,3.7,45.7,45067.67022,3.8180916
50.6,3.8,45.6,48599.83613,3.8194548
50.6,3.9,45.5,53279.25453,3.8211719
50.6,4,45.4,55028.3368,3.8229161
50.7,0,49.3,107794.1924,4.1903846
50.7,0.1,49.2,116186.0491,4.1985023
50.7,0.2,49.1,125940.2008,4.2058325
50.7,0.3,49,135949.7767,4.2124152
50.7,0.4,48.9,144941.5793,4.2184481
50.7,0.5,48.8,157856.3897,4.2238219
50.7,0.6,48.7,147550.8606,4.2619262
50.7,0.7,48.6,129303.7723,4.2639011
50.7,0.8,48.5,106201.3962,4.2655566
50.7,0.9,48.4,103846.0695,4.2670312
50.7,1,48.3,93690.45584,4.2683263
50.7,1.1,48.2,75741.6787,4.2693943
50.7,1.2,48.1,71662.80175,4.2700565
50.7,1.3,48,66840.65484,4.2706788
50.7,1.4,47.9,62827.55118,4.2712133
50.7,1.5,47.8,57434.39018,4.2716627
50.7,1.6,47.7,54074.51314,4.2720775
50.7,1.7,47.6,42085.3315,4.2724816
50.7,1.8,47.5,37421.18557,4.273131
50.7,1.9,47.4,46709.57239,4.2732862
50.7,2.1,47.2,30156.88921,4.2736747
50.7,2.2,47.1,32337.32315,4.2737561
50.7,2,47.3,34753.49913,4.2737923
50.7,2.3,47,31151.73446,4.273929
50.7,2.4,46.9,40620.15368,4.2740174
50.7,2.5,46.8,35964.55212,4.2741871
50.7,2.6,46.7,38522.47889,4.2743472
50.7,2.7,46.6,41111.47396,4.2744894
50.7,2.8,46.5,29925.25318,4.2747851
50.7,2.9,46.4,42933.16148,4.2750532
50.7,3,46.3,42179.01998,4.2753838
50.7,3.1,46.2,37782.62316,4.2760369
50.7,3.2,46.1,44111.78014,4.2764952
50.7,3.3,46,43415.2313,4.2767732
50.7,3.4,45.9,39382.02782,4.2773635
50.7,3.5,45.8,48127.20535,4.278075
50.7,3.6,45.7,48660.02016,4.2788191
50.7,3.7,45.6,55162.2882,4.2796772
50.7,3.8,45.5,57093.87383,4.2806475
50.7,3.9,45.4,56776.5503,4.2820107
50.7,4,45.3,59887.13349,4.2828188
50.8,0,49.2,96625.96351,4.6681929
50.8,0.1,49.1,104296.1102,4.6765878
50.8,0.2,49,111637.5978,4.6841753
50.8,0.3,48.9,121029.5556,4.6910471
50.8,0.4,48.8,130565.9659,4.6972357
50.8,0.5,48.7,140404.0031,4.7026811
50.8,0.6,48.6,150612.8916,4.7075137
50.8,0.7,48.5,161123.8974,4.7118314
50.8,3.3,45.9,51830.50719,4.748039
50.8,3.4,45.8,58233.63652,4.7480433
50.8,3.5,45.7,50275.7705,4.7480685
50.8,3.2,46,55246.12824,4.7481146
50.8,3.6,45.6,53153.46214,4.7482092
50.8,0.8,48.4,146842.9886,4.7483214
50.8,3,46.2,47358.71021,4.7484453
50.8,3.7,45.5,66470.71313,4.7484619
50.8,3.1,46.1,50051.87893,4.7485886
50.8,2.9,46.3,51940.95677,4.7486681
50.8,3.8,45.4,65759.62093,4.7487244
50.8,3.9,45.3,61370.72464,4.7491893
50.8,2.7,46.5,50193.88566,4.7492384
50.8,2.8,46.4,38667.96677,4.7492452
50.8,0.9,48.3,132085.3724,4.7494877
50.8,2.6,46.6,47544.4316,4.7496049
50.8,4,45.2,64425.59106,4.749657
50.8,2.5,46.7,44924.08871,4.7500307
50.8,1,48.2,116443.9388,4.7504936
50.8,2.4,46.8,42381.19945,4.7507372
50.8,2.3,46.9,50568.45253,4.750794
50.8,2.2,47,44418.69999,4.7511438
50.8,1.1,48.1,99861.83828,4.7512381
50.8,2.1,47.1,45489.12696,4.7515744
50.8,1.2,48,82774.75791,4.7516377
50.8,2,47.2,50067.37913,4.7519053
50.8,1.9,47.3,50999.67544,4.7519676
50.8,1.4,47.8,79387.16112,4.7520558
50.8,1.7,47.5,63652.41799,4.7520844
50.8,1.5,47.7,68040.01227,4.7521088
50.8,1.3,47.9,83248.06342,4.7522316
50.8,1.8,47.4,55510.99026,4.7523388
50.8,1.6,47.6,60587.95594,4.7524365
50.9,0,49.1,87648.94846,5.1515227
50.9,0.1,49,94323.69923,5.160278
50.9,0.2,48.9,101508.9655,5.1680427
50.9,0.3,48.8,109037.0405,5.1752173
50.9,0.4,48.7,117445.9533,5.1814431
50.9,0.5,48.6,126081.432,5.1869864
50.9,0.6,48.5,135134.9093,5.1919559
50.9,0.7,48.4,144587.0434,5.19632
50.9,0.8,48.3,154357.8085,5.2004017
50.9,4,45.1,88473.71683,5.2228723
50.9,3.9,45.2,78573.09359,5.2229949
50.9,3.8,45.3,79860.36987,5.2232236
50.9,3.7,45.4,70129.95752,5.2235512
50.9,3.6,45.5,74785.40309,5.2238742
50.9,3.5,45.6,68519.35861,5.2243048
50.9,3.4,45.7,62421.20453,5.2248459
50.9,3.3,45.8,56361.18697,5.2254551
50.9,3.2,45.9,57235.72951,5.2261232
50.9,3.1,46,58203.59746,5.2272552
50.9,3,46.1,62919.35784,5.2276194
50.9,2.9,46.2,56536.13983,5.2288088
50.9,2.8,46.3,57550.99718,5.2293229
50.9,2.7,46.4,47879.79481,5.2301201
50.9,2.6,46.5,59681.83067,5.2310625
50.9,2.5,46.6,46275.7,5.2322657
50.9,2.4,46.7,50636.40859,5.2327657
50.9,2.3,46.8,48090.10985,5.2336536
50.9,2.2,46.9,59487.10754,5.2344995
50.9,2.1,47,64012.26346,5.2354147
50.9,2,47.1,57442.88088,5.2361984
50.9,1.9,47.2,58101.9754,5.2365897
50.9,1.8,47.3,65752.259,5.2374469
50.9,0.9,48.2,159611.8098,5.2376766
50.9,1.7,47.4,76800.73938,5.2379016
50.9,1.6,47.5,77293.01629,5.2380207
50.9,1.4,47.7,91354.34015,5.2387339
50.9,1.5,47.6,84665.40818,5.2387651
50.9,1,48.1,143932.4482,5.2388074
50.9,1.1,48,118117.9129,5.2388569
50.9,1.2,47.9,116797.6209,5.2389589
50.9,1.3,47.8,101551.6305,5.2392878
51,0,49,80101.25246,5.6397389
51,0.1,48.9,86106.88641,5.6487286
51,0.2,48.8,92428.22373,5.656906
51,0.3,48.7,99314.77009,5.6642157
51,0.4,48.6,106565.5918,5.6706069
51,0.5,48.5,114418.9419,5.6763966
51,0.6,48.4,122319.4002,5.681489
51,0.7,48.3,130638.729,5.6858702
51,0.8,48.2,139332.1654,5.689677
51,0.9,48.1,148371.6177,5.6930545
51,1,48,157917.7296,5.6957967
51,4,45,97752.1244,5.7018652
51,3.9,45.1,95606.75286,5.7026852
51,3.8,45.2,82674.96921,5.7034777
51,3.7,45.3,76938.68774,5.7043643
51,3.6,45.4,81726.68306,5.7053512
51,3.5,45.5,72097.7118,5.7064283
51,3.4,45.6,73249.42732,5.7075024
